Time		Subtitle		Translation
00:00:05		 Nhanh lên . Không họ giết cả lũ bây giờ .  		
00:00:08		 Nhanh lên !  		
00:00:12		 Cô còn sữa không ?  		
00:00:14		 Đi đâu vậy ?  		
00:00:16		 Bọn họ muốn gặp con bé .  		
00:01:24		 Thưa ngài , con bé đây ạ .  		
00:01:27		 Con bé biết xem tướng số đấy hả ?  		
00:02:02		 Họ đang phù phép để nó thắng cuộc đua đó .  		
00:02:12		 Tên con ngựa là Monaghan Boy .  		
00:02:14		 Kempton , 3 giờ , thứ Hai .  		
00:02:17		 Mấy người biết phải đặt cược sao rồi   nhưng chớ có bép xép .  		
00:02:26		 BIRMINGHAM , ANH QUỐC , NĂM 1919  		
00:02:45		 Và Abraham làm nhà trong hang ,  		
00:02:49		 nhưng đó là điều tốt lành ,   vì Chúa ở cùng ông ấy .  		
00:02:53		 Các con biết đấy , Chúa không cần biết  		
00:02:56		 các con sống trong khu ổ chuột   hay trong biệt thự .  		
00:03:00		 Chúa không cần biết   các con giàu hay nghèo .  		
00:03:05		 Các con vẫn là con cái của Chúa .  		
00:03:13		 Chào buổi sáng , thưa ngài .  		
00:03:24		 Chào buổi sáng , ngài Shelby .  		
00:04:09		 - Nhanh lên nào .   - Chào ngài .  		
00:04:11		 - Chào ngài Shelby .   - Xem nào , nhanh chân lên !  		
00:04:29		 Finn ?  		
00:04:33		 Arthur đang tức điên lên đấy .  		
00:04:39		 Mới mười tuổi thì biết   " tức điên " là gì đâu mà nói , hả ?  		
00:04:42		 Đến Chủ Nhật là cháu 11 tuổi rồi .  		
00:04:56		 Đặt cược cho cuộc đua   lúc hai giờ rưỡi tại Kempton đi .  		
00:05:03		 Xuống còn bốn .  		
00:05:06		 Được rồi , quý vị , đặt đi .  		
00:05:12		 Cảm ơn .  		
00:05:19		 Thấy không ? Đồng Sovereign ,   tiền cổ đấy , bốn ăn một .  		
00:05:25		 Tommy !  		
00:05:27		 Tommy , xem sổ này .  		
00:05:29		 - Cứ xem đi .   - Tommy !  		
00:05:30		 - Tất cả đều đặt Monaghan Boy .   - Tốt lắm , John .  		
00:05:32		 Tommy !  		
00:05:34		 Vào đây , ngay !  		
00:05:37		 Vậy là sáu xu đó , Nipper .   Cược vậy là cậu cầm chắc mười si - ling .  		
00:05:49		 Mày bị bắt gặp làm trò thổi bột đó  		
00:05:52		 ở Garrison Courts .  		
00:05:54		 Thời buổi khó khăn mà .  		
00:05:56		 Phải có lý do gì đó người ta mới đặt cược .  		
00:05:58		 Có một đứa người Trung Quốc .  		
00:06:00		 Mấy bà giặt đồ nói con bé là phù thủy .  		
00:06:03		 Điều đó khiến họ có niềm tin .  		
00:06:05		 Đừng có dây vào bọn Trung Quốc .  		
00:06:07		 - Xem sổ đi ...   - Bọn Trung Quốc  		
00:06:09		 cũng có ngựa đua .  		
00:06:11		 Chúng ta đã thoả thuận rồi , Arthur .  		
00:06:13		 Tôi sẽ lo việc kiếm nguồn thu nhập mới .  		
00:06:19		 Vậy nếu Monaghan Boy thắng thì sao , Tommy ?  		
00:06:22		 Giờ mày dàn xếp luôn mấy cuộc đua hả ?  		
00:06:24		 Mày có được Billy Timber   cho phép dàn xếp chưa ?  		
00:06:29		 Mày bị sao vậy ?  		
00:06:32		 Mày nghĩ chúng ta có thể đấu lại   lũ Trung Quốc và Billy Timber .  		
00:06:36		 - Billy có hẳn một binh đoàn ...   - Tôi biết mà , Arthur .  		
00:06:41		 Đó là nghề của tôi mà .  		
00:06:47		 Tôi tính hết .  		
00:06:49		 Để anh khỏi chĩa mũi vào .  		
00:06:55		 Mới có tin từ Belfast .  		
00:07:03		 Tao sẽ triệu tập một cuộc họp   nội bộ tối nay lúc 8 giờ .  		
00:07:06		 Tao muốn tất cả phải có mặt .  		
00:07:08		 Mày nghe rõ chưa ?  		
00:07:10		 Rắc rối đến nơi rồi đây .  		
00:07:20		 VỤ CƯỚP KHO VŨ KHÍ BSA :   NGHI PHẠM HÀNG ĐẦU  		
00:07:32		 GĂNG - XTƠ . LỪA ĐẢO . NHÀ CÁI CÁ ĐỘ .  		
00:07:35		 THỦ LĨNH BĂNG PEAKY BLINDERS ?  		
00:07:47		 LỪA ĐẢO . BẢO KÊ . CƯỚP CÓ VŨ KHÍ .  		
00:07:49		 ĐƯỢC TRAO TẶNG HUÂN CHƯƠNG DŨNG CẢM .  		
00:08:11		 Được rồi , im lặng nào .  		
00:08:15		 Các bạn ,  		
00:08:17		 hôm nay chúng ta có mặt   để bỏ phiếu về việc đình công .  		
00:08:19		 Đúng vậy !  		
00:08:21		 Nhưng trước khi chúng ta biểu quyết ,  		
00:08:25		 ai đã từng tham chiến ở Pháp   thì hãy giơ tay .  		
00:08:28		 Ai đã từng kề vai sát cánh   cùng đồng đội của mình  		
00:08:31		 và nhìn họ ngã xuống .  		
00:08:34		 Hãy giơ tay lên .  		
00:08:39		 Máu đã đổ trên những cánh đồng ở Flanders ,  		
00:08:43		 mồ hôi thì đổ trên trán các bạn .  		
00:08:46		 Rồi thì ai được thưởng ?  		
00:08:48		 - Các bạn hả ?   - Không !  		
00:08:51		 - Hay vợ các bạn ?   - Cũng không !  		
00:08:53		 - Vậy thì ai , họ có ở đây không ?   - Không !  		
00:08:56		 Hay họ đang phè phỡn ở nhà   với cái bụng no căng  		
00:09:00		 trong khi các bạn phải cóp nhặt   từng đồng để lo cho con cái !  		
00:09:04		 Đúng rồi !  		
00:09:06		 Và phần thưởng họ dành cho   sự hy sinh của các bạn là gì ?  		
00:09:10		 Là một đợt cắt giảm tiền lương .  		
00:09:12		 Đó là phần thưởng của các bạn .  		
00:09:14		 Những ai muốn đình công thì giơ tay lên .  		
00:09:17		 Đồng ý !  		
00:09:24		 NGƯỜI TRIỆU TẬP CÔNG ĐOÀN BSA  		
00:09:26		 THÂN CỘNG SẢN , BOLSHEVIK.  		
00:10:12		 Miễn phí , thưa ngài Shelby .  		
00:10:34		 - Cho một ly Mild .   - Được rồi .  		
00:10:56		 Nâng ly nào , Thomas ,  		
00:10:58		 chúc anh sức khỏe .  		
00:11:05		 Mũ miện của một hoàng tử .  		
00:11:11		 Tôi cá cậu sẽ sớm lên ngôi vua thôi .  		
00:11:12		 Anh đâu có cá cược gì .  		
00:11:14		 Không , nhưng mấy ngày qua   tôi cũng có suy đoán .  		
00:11:21		 Về chuyện gì ?  		
00:11:23		 Một chiến hữu của tôi có một cô em  		
00:11:25		 hiện đang làm trong văn phòng điện tín   tại nhà máy của BSA.  		
00:11:29		 Cô ấy nói , mấy tuần qua đã có vài ba   tin nhắn từ London đến mấy ông lớn  		
00:11:34		 do Winston Churchill trực tiếp gửi .  		
00:11:40		 Cái gì đó về một vụ cướp .  		
00:11:43		 " Một vụ cướp chấn động quốc gia " ,   thư ghi như thế .  		
00:11:48		 Cô ấy còn tìm thấy một danh sách   sót lại trong máy điện tín .  		
00:11:54		 Và trong đó có cả tên anh và tên tôi .  		
00:12:00		 Danh sách gì mà có tên một gã Cộng sản   và tên một gã nhà cái cá độ  		
00:12:03		 nằm ngay cạnh nhau ?  		
00:12:08		 Chắc là danh sách những gã   giúp người nghèo ảo tưởng .  		
00:12:13		 Điều khác biệt duy nhất   giữa anh và tôi , Freddie ,  		
00:12:16		 là thỉnh thoảng  		
00:12:18		 thì ngựa của tôi còn có cơ hội thắng .  		
00:12:27		 Có thời gian tôi nghe nhiều về mấy vụ   đâm chém và ẩu đả đến mức tôi ước  		
00:12:31		 giá như tôi cứ để anh lãnh   viên đạn đó hồi ở Pháp .  		
00:12:35		 Tin tôi đi  		
00:12:37		 có những đêm tôi cũng ước như vậy đó .  		
00:12:42		 Này !  		
00:12:47		 - Chúng bắt tôi mất !   - Đếm đến ba nhé .  		
00:12:49		 - Chúng bắt tôi mất !   - Một , hai , ba , đè xuống !  		
00:12:53		 - Thở đi , Danny , thở đi nào .   - Chúng bắt tôi mất thôi !  		
00:12:56		 Chúng bắt tôi mất !  		
00:12:57		 Danny , cậu về nhà rồi .  		
00:13:00		 Chúng ta đều về Anh cả rồi .   Cậu không còn ở Pháp nữa .  		
00:13:04		 Cậu không phải là một quả đạn pháo ,   Danny , cậu là người .  		
00:13:07		 Nghe không ?  		
00:13:08		 Cậu không phải đạn súng cối .   Cậu là một con người , Danny .  		
00:13:11		 Cậu ổn mà .  		
00:13:13		 Cậu ổn mà .  		
00:13:14		 Cậu ổn mà .  		
00:13:16		 Đứng lên !  		
00:13:22		 Ổn rồi .  		
00:13:24		 Ổn rồi .  		
00:13:28		 Ôi ! Khỉ thật !  		
00:13:29		 Tôi lại bị thế nữa hả ?  		
00:13:32		 Cậu lại bị thế nữa , Danny .  		
00:13:37		 Cậu phải cố kềm chế đi .  		
00:13:40		 - Ổn cả thôi .   - Chúa ơi ! Tôi xin lỗi , ngài Shelby .  		
00:13:43		 Không sao .  		
00:13:44		 Giờ thì về nhà với vợ đi , Danny .  		
00:13:46		 Cố để đầu óc thoải mái đi , nhé ?  		
00:13:49		 Vâng , ngài Shelby . Tôi xin lỗi .  		
00:13:52		 Thôi đi đi .  		
00:13:58		 Ngài Shelby , ngài phải   làm việc với gã đó đi .  		
00:14:01		 Cậu nói phải lắm , Harry .  		
00:14:02		 Dù gì thì cậu cũng đã tốn không ít   tiền bảo kê cho Peaky Blinders rồi .  		
00:14:06		 Giờ cậu là luật pháp ở đây ,   đúng không Tommy ?  		
00:14:09		 Có lẽ cậu nên ghim một viên vào đầu   Danny Đạn Pháo đi ,  		
00:14:11		 như họ làm với ngựa điên vậy .  		
00:14:15		 Có thể một ngày cậu cũng phải   ghim một viên vào đầu tôi thôi .  		
00:14:29		 Đem hóa đơn đến nhà Peaky Blinders .  		
00:14:31		 Bọn tôi sẽ trả tiền bồi thường .  		
00:14:52		 Nhìn khẩu súng này xem .  		
00:14:55		 Có nhận ra nó không ?  		
00:14:57		 Ừ .  		
00:15:00		 Đứng dậy đi , đồ con lợn .  		
00:15:02		 Dì Pol ! Dì làm cái quái gì vậy ?  		
00:15:05		 Finn nghịch cái này chiều nay ở bờ kênh .  		
00:15:07		 Nó đã được lên đạn .   Suýt nữa là Ada lãnh đạn .  		
