Time		Subtitle		Translation
00:00:05		 Hurry, or they'll kill us all!   		Nhanh lên. Không họ giết cả lũ bây giờ. 
00:00:08		 Hurry!   		Nhanh lên! 
00:00:12		 Do your breasts still give milk?   		Cô còn sữa không? 
00:00:14		 Where are you going?   		Đi đâu vậy? 
00:00:16		 They have asked for her.   		Bọn họ muốn gặp con bé. 
00:01:24		 Sir? This is her.   		Thưa ngài, con bé đây ạ. 
00:01:27		 The girl who tells fortunes?   		Con bé biết xem tướng số đấy hả? 
00:02:02		 They're doing a magic spell to make it win a race.   		Họ đang phù phép để nó thắng cuộc đua đó. 
00:02:12		 The horse's name is Meaghan Boy.   		Tên con ngựa là Monaghan Boy. 
00:02:15		 Kemp ton, 3:00, Monday.   		Kempton, 3 giờ, thứ Hai. 
00:02:17		 You ladies have a bet yourselves but don't tell anyone else.   		Mấy người biết phải đặt cược sao rồi nhưng chớ có bép xép. 
00:02:26		 [theme song playing]   		BIRMINGHAM, ANH QUỐC, NĂM 1919 
00:02:46		 [preacher] ...and Abraham made his home in a cave,   		Và Abraham làm nhà trong hang, 
00:02:49		 but it was good because God resided there with him.   		nhưng đó là điều tốt lành, vì Chúa ở cùng ông ấy. 
00:02:53		 You see, children, God does not care   		Các con biết đấy, Chúa không cần biết 
00:02:57		 if you live in a slum or in a mansion.   		các con sống trong khu ổ chuột hay trong biệt thự. 
00:03:01		 God does not care if you are rich or you are poor.   		Chúa không cần biết các con giàu hay nghèo. 
00:03:05		 You are still...   		Các con vẫn là con cái của Chúa. 
00:03:13		 Morning, sir.   		Chào buổi sáng, thưa ngài. 
00:03:24		 [policeman] Good morning, Mr. Shelby.   		Chào buổi sáng, ngài Shelby. 
00:04:09		 [man 1] Come on, lad.   		- Nhanh lên nào. - Chào ngài. 
00:04:11		 [man 2] Morning, Mr. Shelby.   		- Chào ngài Shelby. - Xem nào, nhanh chân lên! 
00:04:34		 Arthur's mad as hell.   		Arthur đang tức điên lên đấy. 
00:04:39		 What does a ten-year-old know about hell, eh?   		Mới mười tuổi thì biết "tức điên" là gì đâu mà nói, hả? 
00:04:42		 I'm 11 Sunday.   		Đến Chủ Nhật là cháu 11 tuổi rồi. 
00:05:25		 [John] Tommy! Tommy! Tommy, look at the book.   		Tommy, xem sổ này. 
00:05:29		 - Just look. - Tommy!   		- Cứ xem đi. - Tommy! 
00:05:30		 - All on Meaghan Boy. - Good work, John.   		- Tất cả đều đặt Monaghan Boy. - Tốt lắm, John. 
00:05:34		 Get in here, now!   		Vào đây, ngay! 
00:05:37		 That'll be six pennies, Nipper. That's ten bob you'll see for that.   		Vậy là sáu xu đó, Nipper. Cược vậy là cậu cầm chắc mười si-ling. 
00:05:49		 You was seen doing the powder trick   		Mày bị bắt gặp làm trò thổi bột đó 
00:05:52		 down at Garrison Courts.   		ở Garrison Courts. 
00:05:55		 Times are hard.   		Thời buổi khó khăn mà. 
00:05:56		 People need a reason to lay a bet.   		Phải có lý do gì đó người ta mới đặt cược. 
00:05:59		 There was a Chinese.   		Có một đứa người Trung Quốc. 
00:06:01		 The washer women say she's a witch.   		Mấy bà giặt đồ nói con bé là phù thủy. 
00:06:03		 It helps them believe.   		Điều đó khiến họ có niềm tin. 
00:06:05		 We don't mess with Chinese.   		Đừng có dây vào bọn Trung Quốc. 
00:06:07		 - Look at the book-- - Chinese have cutters of their own.   		- Xem sổ đi... - Bọn Trung Quốc 
00:06:11		 We agreed, Arthur.   		Chúng ta đã thoả thuận rồi, Arthur. 
00:06:14		 I'm taking charge of drumming up new money.   		Tôi sẽ lo việc kiếm nguồn thu nhập mới. 
00:06:19		 What if Meaghan Boy wins, Tommy?   		Vậy nếu Monaghan Boy thắng thì sao, Tommy? 
00:06:22		 You fixing races now?   		Giờ mày dàn xếp luôn mấy cuộc đua hả? 
